databas,skolnivå,dataset,år,uttag,format,url
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2005,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2005-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2003,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2003-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1997,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/1997-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2002,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2002-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2000,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/XML/2000-1.xml
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2001,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2001-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2007,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2007-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1998,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/1998-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2002,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2002-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2011,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2011-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2000,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2000-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2005,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2005-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2008,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2008-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2009,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2009-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2012,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2012-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1997,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/1997-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2006,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2006-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2003,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2003-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2004,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2004-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",1999,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/1999-1.csv
siris,Gymnasieskolan,"59-Antal elever som började 2010 eller tidigare, per kommun och program",2010,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/59-Antal%20elever%20som%20b%C3%B6rjade%202010%20eller%20tidigare%2C%20per%20kommun%20och%20program/CSV/2010-1.csv
siris,Gymnasieskolan,137-Antal elever,2013,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2013-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2015,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2015-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2012,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2012-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2018,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2018-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2019,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2019-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2017,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2017-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2011,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2011-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2014,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2014-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2016,1,EXCEL,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/EXCEL/2016-1.xlsx
siris,Gymnasieskolan,137-Antal elever,2019,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2019-1.xml
siris,Gymnasieskolan,137-Antal elever,2015,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2015-1.xml
siris,Gymnasieskolan,137-Antal elever,2018,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2018-1.xml
siris,Gymnasieskolan,137-Antal elever,2014,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2014-1.xml
siris,Gymnasieskolan,137-Antal elever,2016,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2016-1.xml
siris,Gymnasieskolan,137-Antal elever,2011,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2011-1.xml
siris,Gymnasieskolan,137-Antal elever,2013,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2013-1.xml
siris,Gymnasieskolan,137-Antal elever,2012,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2012-1.xml
siris,Gymnasieskolan,137-Antal elever,2017,1,XML,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/XML/2017-1.xml
siris,Gymnasieskolan,137-Antal elever,2017,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2017-1.csv
siris,Gymnasieskolan,137-Antal elever,2014,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2014-1.csv
siris,Gymnasieskolan,137-Antal elever,2011,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2011-1.csv
siris,Gymnasieskolan,137-Antal elever,2019,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2019-1.csv
siris,Gymnasieskolan,137-Antal elever,2013,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2013-1.csv
siris,Gymnasieskolan,137-Antal elever,2012,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2012-1.csv
siris,Gymnasieskolan,137-Antal elever,2015,1,CSV,https://skolverket-statistik.s3.eu-north-1.amazonaws.com/siris/Gymnasieskolan/137-Antal%20elever/CSV/2015-1.csv
