school_type,dataset,path,size,md5
Förskola,"Avdelningar, andel (%) med upp till 15 barn",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%20upp%20till%2015%20barn.csv,26031,f28b56c751d28c89a886247d36f0d241
Förskola,"Avdelningar, andel (%) med upp till 15 barn, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%20upp%20till%2015%20barn%2C%20enskild%20regi.csv,23679,54e12c203b921d8b88f585087088c686
Förskola,"Avdelningar, andel (%) med upp till 15 barn, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Avdelningar%2C%20andel%20%28%25%29%20med%20upp%20till%2015%20barn%2C%20kommunal%20regi.csv,23925,ab7daccca85d9a25376fa487a150ce98
Förskola,"Barn 0-3 år, andel (%) i avdelningar med 16 barn eller fler",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%200-3%20%C3%A5r%2C%20andel%20%28%25%29%20i%20avdelningar%20med%2016%20barn%20eller%20fler.csv,22981,c22c6dfdb4e38676a1f6bcb810834dcc
Förskola,"Barn 0-3 år, andel av inskrivna",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%200-3%20%C3%A5r%2C%20andel%20av%20inskrivna.csv,27874,a0996c737f623d8306d623455405ce21
Förskola,"Barn 1-5 år, andel (%) av befolkningen",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-5%20%C3%A5r%2C%20andel%20%28%25%29%20av%20befolkningen.csv,29519,08cdfd5a26645407dae1bfe298b0e6b3
Förskola,"Barn 1-5 år, andel (%) i enskild regi av befolkningen",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-5%20%C3%A5r%2C%20andel%20%28%25%29%20i%20enskild%20regi%20av%20befolkningen.csv,24495,01336b27d2cdbd71a54ede371c64285e
Förskola,"Barn 1-5 år, andel (%) i kommunal regi av befolkningen",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-5%20%C3%A5r%2C%20andel%20%28%25%29%20i%20kommunal%20regi%20av%20befolkningen.csv,22971,80ba24a69fe531568c2c1bd079a9ec82
Förskola,"Barn 1-5 år, andel (%) med annat modersmål än svenska",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-5%20%C3%A5r%2C%20andel%20%28%25%29%20med%20annat%20modersm%C3%A5l%20%C3%A4n%20svenska.csv,24656,62d0b404ae44434587e7970b045ea8ee
Förskola,"Barn 1-5 år, andel (%) med modersmålsstöd/möjlighet att utveckla sitt modersmål, av dem med annat modersmål än svenska",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-5%20%C3%A5r%2C%20andel%20%28%25%29%20med%20modersm%C3%A5lsst%C3%B6d/m%C3%B6jlighet%20att%20utveckla%20sitt%20modersm%C3%A5l%2C%20av%20dem%20med%20annat%20modersm%C3%A5l%20%C3%A4n%20svenska.csv,24028,4d1b1444f48281aa18687bff66891e52
Förskola,"Barn 1-5 år, andel med modersmålsstöd",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-5%20%C3%A5r%2C%20andel%20med%20modersm%C3%A5lsst%C3%B6d.csv,22689,ad8b698c8a29098619dc3db0e5cb1ed6
Förskola,"Barn 1-5 år, antal i kommunen",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-5%20%C3%A5r%2C%20antal%20i%20kommunen.csv,43344,720bc67c88904f69a975ce1f3b249afc
Förskola,"Barn 1-6 år, antal i kommunen 31/12",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%201-6%20%C3%A5r%2C%20antal%20i%20kommunen%2031/12.csv,25534,738063b4107ad435275a24530dfb2855
Förskola,"Barn, andel (%) i enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%2C%20andel%20%28%25%29%20i%20enskild%20regi.csv,26347,c48d9309dbbbe7e53134cfb1acd3082a
Förskola,"Barn, andel (%) i kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%2C%20andel%20%28%25%29%20i%20kommunal%20regi.csv,24883,43b546af3e7939f74ac45bc11fa1c373
Förskola,"Barn, totalt antal inskrivna",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barn%2C%20totalt%20antal%20inskrivna.csv,43020,a069d77e9fc79513b26a15157d29fd27
Förskola,"Barngrupp, antal barn per barngrupp",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barngrupp%2C%20antal%20barn%20per%20barngrupp.csv,49297,2265da454d1d2cacd71ec89ffbaadcc6
Förskola,"Barngrupp, antal barn per barngrupp, enskild regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barngrupp%2C%20antal%20barn%20per%20barngrupp%2C%20enskild%20regi.csv,36105,67f28251b35f87ca321e0a291b055815
Förskola,"Barngrupp, antal barn per barngrupp, kommunal regi",https://skolverket-statistik.s3.eu-north-1.amazonaws.com/artisan/F%C3%B6rskola/Barngrupp%2C%20antal%20barn%20per%20barngrupp%2C%20kommunal%20regi.csv,38712,a13c6768b03c7bebbdc74815ad342f2d
